Dept_Cd,Department
CTR046,COB PROFESSIONAL EXCELLENCE CT
STL005,STUDENT ACTIVITIES
CTR029,RISE PROGRAMS
AUC004,TESTING CENTER
SAA002,ORIENTATION & TRANSITION PGMS
AUC020,ADVISING ATHLETICS
CTR026,CTR RES & TRAINING IN SCIENCES
CTR057,"RESEARCH, EXHIBITS AND COLLECT"
SAF006,COUNSELING SERVICES
CTR054,ITC ADVANCEMENT & COMM
CED005,SBDC NETWORK
CTR013,CTR FOR ARCHEOLOGICAL RESRCH
RES008,OSPA-DT RESEARCH SERVICE CENTE
ASC005,ENVIRONMENTAL SCIENCE
BFC010,FACILITIES - INST OF TX CULTUR
SES002,ONE STOP ENROLLMENT CENTER
BFC007,FACILITIES UTILITIES OPERATION
CPR001,TX PRE ENGINEERING PROGRAM
AUC014,ADVISING- HEALTH PROFESSIONS
SMK001,ENROLLMENT SRVCS MKT & COMM
BFA013,PAYROLL SERVICES
AUC010,ADVISING- ENGINEERING
AUC012,ADVISING- DOWNTOWN
SAA003,ENROLLMENT INFORMATION SYSTEMS
ABS008,COB CTR FOR STUDENT PRO DVLPMT
AUC013,ADVISING-MATH & PHYSCL SCIENCE
RES012,OSPA-COF-COB-HONORSRSC
CTR059,CENTER FOR DRUG DISCOVERY
CTR003,INSTITUTE FOR LAW & PUBLIC AFF
CTR024,INSTITUTE FOR CYBER SECURITY
AHC002,TOP SCHOLAR PROGRAM
RES011,OPSA COS RES SERV CTR
AEH005,COEHD GRADUATE STUDIES
BFC008,FACILITIES HOUSEKEEPING
AUC016,ADVISING- STUDENT PLACEMENT
AUC015,FIRST YEAR EXP PROG
AUC017,ADVISING-LIFE & HEALTH SCIENCE
STL007,STUDENT LEADERSHIP DEV
RES009,OSPA-COE RES SERV CTR
AUC009,ADVISING- INTERDISCIPLINARY ED
CED008,IED CTR FOR COMM & BUS RSRCH
CTR007,COE CTR FOR INNV & TECH ENTR
BFC003,FACILITIES DOWNTOWN CAMPUS
BFA005,CAPITAL ASSET MANAGEMENT
ASC015,CTR INTERDISCIPLINARY HTLH RSR
AUC023,TRC LEARNING ASSISTANCE
RES010,OSPA IED SCI RES SERV
AUC025,TRC TUTORING
AUC024,TRC SUPPLEMENTAL INSTRUCTION
AIT009,OIT SUPPORT
AUC008,ADVISING- BUSINESS STUDIES
AUC005,ADVISING-ARTS & HUMANITIES
AUC011,ADVISING- SOCIAL SCIENCES
AUC007,WRITING CORE PROGRAM
CTR011,TX SUSTAINABLE ENERGY RES INST
CTR021,SO TX CTR EMERG INFECT DISEASE
AIT007,OIT CUSTOMER RELATIONS
CMS002,EXTENDED EDUCATION
CTR044,POLICY STUDIES CTR
CTR036,MEXICO CENTER
CTR062,CENTER FOR CIVIC ENGAGEMENT
BUP002,ITC SECURITY OFFICE
CTR052,ITC BUSINESS OPERATIONS
CPT002,TRIO PROGRAMS
STL004,INCLUSION & COMM ENGAGEMENT CT
BFA008,FISCAL SERVICES MAIN CAMPUS
CTR027,SCORE-SUPPORT COMPET RESEARCH
AEH002,"COEHD ADVISING, CERT & PLCMT"
ASC003,COS GE2MS PROGRAM
ABS004,COB INTERNATIONAL ENGAGEMENT
BFA007,FISCAL SERVICES DOWNTOWN
CTR034,NEUROSCIENCES INSTITUTE
CTR008,COE ITEC
CTR064,INSTI FOR HEALTH DISPARATIES R
AUC018,ADVISING-HONORS COLLEGE
BFA009,FISCAL SERVICES COLLECTIONS
AUC003,RESERVE OFFICERS TRAINING CORP
AVP004,OFFICE OF ESL SERVICES
CTR053,ITC EDUCATION & INTERPRETATION
CTR014,WOMEN'S STUDIES INSTITUTE
ACA034,ASSC VICE PROV STUDENT SUCCESS
BFA006,SURPLUS PROPERTY
